2025-09-23 20:27:46 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:27:46 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:27:58 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:27:58 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:28:52 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:28:52 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:28:52 | INFO | Starting Producer to run continuously.
2025-09-23 20:28:52 | INFO | Use Ctrl+C to stop.
2025-09-23 20:28:52 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-23 20:28:52 | INFO | BUZZ_TOPIC: buzzline
2025-09-23 20:28:52 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-23 20:28:52 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:28:52 | INFO | LIVE_DATA_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/project_live.json
2025-09-23 20:28:52 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:28:52 | INFO | SQLITE_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/buzz.sqlite
2025-09-23 20:28:52 | INFO | Kafka broker address: localhost:9092
2025-09-23 20:28:53 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': '8g7_8xraQ_OwBKie1pujOg', 'controller_id': 1}
2025-09-23 20:28:55 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-23 20:28:55 | INFO | {'message': 'I just loved a story! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-23 20:28:55', 'category': 'other', 'sentiment': 0.52, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-23 20:29:00 | INFO | {'message': 'I just loved recipe! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-23 20:29:00', 'category': 'food', 'sentiment': 0.17, 'keyword_mentioned': 'recipe', 'message_length': 35}
2025-09-23 20:29:05 | INFO | {'message': 'I just shared an app! It was exciting.', 'author': 'Charlie', 'timestamp': '2025-09-23 20:29:05', 'category': 'other', 'sentiment': 0.53, 'keyword_mentioned': 'other', 'message_length': 38}
2025-09-23 20:29:10 | INFO | {'message': 'I just saw a meme! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-23 20:29:10', 'category': 'humor', 'sentiment': 0.08, 'keyword_mentioned': 'meme', 'message_length': 32}
2025-09-23 20:29:15 | INFO | {'message': 'I just tried a meme! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-23 20:29:15', 'category': 'humor', 'sentiment': 0.33, 'keyword_mentioned': 'meme', 'message_length': 35}
2025-09-23 20:29:15 | WARNING | Producer interrupted by user.
2025-09-23 20:29:15 | INFO | Producer shutting down.
2025-09-23 20:31:27 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:31:27 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:31:27 | INFO | Starting Producer to run continuously.
2025-09-23 20:31:27 | INFO | Use Ctrl+C to stop.
2025-09-23 20:31:27 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-23 20:31:27 | INFO | BUZZ_TOPIC: buzzline
2025-09-23 20:31:27 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-23 20:31:27 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:31:27 | INFO | LIVE_DATA_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/project_live.json
2025-09-23 20:31:27 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:31:27 | INFO | SQLITE_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/buzz.sqlite
2025-09-23 20:31:27 | INFO | Deleted existing live data file.
2025-09-23 20:31:27 | INFO | Kafka broker address: localhost:9092
2025-09-23 20:31:28 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': '8g7_8xraQ_OwBKie1pujOg', 'controller_id': 1}
2025-09-23 20:31:30 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-23 20:31:30 | INFO | {'message': 'I just found a trick! It was exciting.', 'author': 'Charlie', 'timestamp': '2025-09-23 20:31:30', 'category': 'other', 'sentiment': 0.7, 'keyword_mentioned': 'other', 'message_length': 38}
2025-09-23 20:31:35 | INFO | {'message': 'I just shared a trick! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-23 20:31:35', 'category': 'other', 'sentiment': 0.42, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-23 20:31:37 | WARNING | Producer interrupted by user.
2025-09-23 20:31:37 | INFO | Producer shutting down.
2025-09-23 20:31:55 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:31:55 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:39:18 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:39:18 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:39:18 | INFO | Starting Producer to run continuously.
2025-09-23 20:39:18 | INFO | Use Ctrl+C to stop.
2025-09-23 20:39:18 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-23 20:39:18 | INFO | BUZZ_TOPIC: buzzline
2025-09-23 20:39:18 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-23 20:39:18 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:39:18 | INFO | LIVE_DATA_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/project_live.json
2025-09-23 20:39:18 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:39:18 | INFO | SQLITE_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/buzz.sqlite
2025-09-23 20:39:18 | INFO | Deleted existing live data file.
2025-09-23 20:39:18 | INFO | Kafka broker address: localhost:9092
2025-09-23 20:39:19 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': '8g7_8xraQ_OwBKie1pujOg', 'controller_id': 1}
2025-09-23 20:39:21 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-23 20:39:21 | INFO | {'message': 'I just loved an app! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-23 20:39:21', 'category': 'other', 'sentiment': 0.55, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-23 20:39:26 | INFO | {'message': 'I just shared recipe! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-23 20:39:26', 'category': 'food', 'sentiment': 0.78, 'keyword_mentioned': 'recipe', 'message_length': 38}
2025-09-23 20:39:31 | INFO | {'message': 'I just tried a meme! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-23 20:39:31', 'category': 'humor', 'sentiment': 0.54, 'keyword_mentioned': 'meme', 'message_length': 34}
2025-09-23 20:39:36 | INFO | {'message': 'I just shared an app! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-23 20:39:36', 'category': 'other', 'sentiment': 0.36, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-23 20:39:38 | INFO | Logging to file: logs/project_log.log
2025-09-23 20:39:38 | INFO | Log sanitization enabled, personal info removed
2025-09-23 20:39:38 | INFO | Starting Consumer to run continuously.
2025-09-23 20:39:38 | INFO | Things can fail or get interrupted, so use a try block.
2025-09-23 20:39:38 | INFO | Moved .env variables into a utils config module.
2025-09-23 20:39:38 | INFO | STEP 1. Read environment variables using new config functions.
2025-09-23 20:39:38 | INFO | BUZZ_TOPIC: buzzline
2025-09-23 20:39:38 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-23 20:39:38 | INFO | BUZZ_CONSUMER_GROUP_ID: buzz_group
2025-09-23 20:39:38 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-23 20:39:38 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/buzzline-05-anjana/data
2025-09-23 20:39:38 | INFO | SQLITE_PATH: C:/Users/USER/Documents/buzzline-05-anjana/data/buzz.sqlite
2025-09-23 20:39:38 | INFO | SUCCESS: Read environment variables.
2025-09-23 20:39:38 | INFO | STEP 2. Delete any prior database file for a fresh start.
2025-09-23 20:39:38 | INFO | STEP 3. Initialize a new database with an empty table.
2025-09-23 20:39:38 | INFO | Calling SQLite init_db() with {db_path=}.
2025-09-23 20:39:38 | INFO | SUCCESS: Got a cursor to execute SQL.
